STE;DATE;COMPTE;Auxiliaire;n°pièce;OBJET;D;C;Journal;Analytique
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003126;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003129;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003133;;2635,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003150;;1605,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003156;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003169;;145,60;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003175;;829,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003184;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003205;;28,50;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003214;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003216;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003234;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003236;;2291,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003241;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003274;;1209,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003277;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003279;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003318;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003332;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003356;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003326;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003365;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003366;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003384;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003388;;901,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003397;;901,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003401;;901,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003406;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003414;;901,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003432;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003430;;407,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003442;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003449;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003456;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003463;;19,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003483;;1089,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003507;;888,50;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003522;;1605,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003524;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003564;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003576;;3170,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003593;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003626;;1743,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003630;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003631;;118,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003642;;437,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003649;;1753,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003655;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003662;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003667;;661,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003674;;661,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003692;;901,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003704;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003706;;1954,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003713;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003746;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003774;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003773;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003782;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003814;;1559,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003818;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003831;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003837;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003836;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003838;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003848;;1557,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003845;;1212,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003841;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003867;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003875;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003874;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003879;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003882;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003905;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003916;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003917;;661,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003926;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003933;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003921;;2392,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003942;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003955;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003967;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003971;;1559,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003974;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003983;;1797,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003990;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004002;;661,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004026;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004034;;829,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004036;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004042;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004039;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004048;;1428,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004056;;1095,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004055;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004062;;832,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004066;;2930,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004081;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004097;;901,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004098;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004102;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004116;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004130;;829,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004136;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004142;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004150;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004172;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004179;;1742,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004184;;1327,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004186;;1974,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004187;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004193;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004205;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004226;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004241;;2055,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004246;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004261;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004264;;901,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004277;;476,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004282;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004284;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004307;;79,80;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004316;;901,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004319;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004327;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004341;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004357;;2055,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004385;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004401;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004402;;1658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004406;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004407;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004412;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004418;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004426;;546,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004442;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004447;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004450;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004461;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004469;;901,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004475;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004480;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004482;;967,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004484;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004505;;661,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004523;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004533;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004536;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004538;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004557;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004563;;399,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14004568;;666,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;AMEX INTERNET DU 07/04/2026;26477,60;;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;PLANET DU 07/04/2026;2698,80;;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;CB DOMAINE DE LOIS DU 07/04/2026;168469,70;;CEBOOBA;
